yaw
-8.3
-0.6
0.1
0.5
-8.2
-10.2
-4.2
-2.3
0
11.7
-3.2
2.4
2.1
5.2
1
2.2
0.8
1.2
-0.1
-0.2
2.8
3.5
3.2
1.6
2.6
2.6
2.1
0.9
0.5
-0.2
