roll,yaw,pitch,top,left,width,height
7.0,-13.2,-0.4,0.0,248.0,222.0,216.0
2.5,-3.8,-14.3,62.0,261.0,203.0,203.0
-9.7,-18.6,-5.4,112.0,191.0,165.0,165.0
