roll,yaw,pitch,top,left,width,height
3.1,12.3,-0.2,300.0,426.0,54.0,54.0
2.1,18.8,-3.0,311.0,213.0,49.0,49.0
-1.3,22.8,-11.3,359.0,165.0,79.0,79.0
5.6,17.9,-6.3,358.0,565.0,74.0,77.0
